dataset,N,learningIterations,theta_sel,mean_bal_acc,std_bal_acc,timestamp
HAM10000,1500,100000,0.8,0.5092272328599612,0.010994612875047197,2026-01-11T15:53:08.265975
HAM10000,2000,120000,0.8,0.5037590154774112,0.003808475364881357,2026-01-11T16:54:28.494460
HAM10000,2000,120000,0.9,0.5067940376432531,0.004609418722621909,2026-01-11T17:51:18.312498
HAM10000,2500,150000,0.9,0.5039417575913927,0.006813457484583229,2026-01-11T19:18:26.365353
ISIC2019,1500,100000,0.8,0.5143991423834426,0.008855849434741795,2026-01-11T20:08:44.853602
ISIC2019,2000,120000,0.8,0.5244151687377319,0.0178629671537886,2026-01-11T21:25:17.001785
ISIC2019,2000,120000,0.9,0.5270942662690796,0.006007165968496494,2026-01-11T22:36:36.897578
ISIC2019,2500,150000,0.9,0.5189349421963709,0.01107606208566612,2026-01-12T00:03:53.007756
