dataset,N,learningIterations,theta_sel,mean_bal_acc,std_bal_acc,timestamp
HAM10000,1500,100000,0.8,0.5169545516111435,0.01001650307977183,2026-01-10T22:00:28.408197
HAM10000,2000,120000,0.8,0.5208589152596576,0.024981773103600946,2026-01-10T23:11:31.471132
HAM10000,2000,120000,0.9,0.5085794905239386,0.005329729733598364,2026-01-11T00:02:18.660083
HAM10000,2500,150000,0.9,0.505048158725901,0.003301112494974975,2026-01-11T01:09:35.140976
ISIC2019,1500,100000,0.8,0.5081558317258212,0.011139197190708829,2026-01-11T01:47:27.901452
ISIC2019,2000,120000,0.8,0.5017360028182427,0.0021584160335744234,2026-01-11T02:36:45.144310
ISIC2019,2000,120000,0.9,0.5092928750867759,0.00844261462602024,2026-01-11T03:24:20.090503
ISIC2019,2500,150000,0.9,0.5038009247142738,0.00507908919017322,2026-01-11T04:22:49.540121
