dataset,N,learningIterations,theta_sel,mean_bal_acc,std_bal_acc,timestamp
HAM10000,1500,100000,0.8,0.5048336655864627,0.0041089922746407,2026-01-12T01:19:15.143291
HAM10000,2000,120000,0.8,0.4999438517686693,0.0001122964626614209,2026-01-12T02:16:58.948882
HAM10000,2000,120000,0.9,0.5007845014359853,0.0009771005199571679,2026-01-12T03:19:37.979056
HAM10000,2500,150000,0.9,0.5008406812112662,0.0016813624225323841,2026-01-12T04:35:02.748721
ISIC2019,1500,100000,0.8,0.5191594463413308,0.004809382357560682,2026-01-12T05:17:04.371276
ISIC2019,2000,120000,0.8,0.5085903657458892,0.005383981851482799,2026-01-12T06:14:08.840016
ISIC2019,2000,120000,0.9,0.5081933017690418,0.006206379930784709,2026-01-12T07:11:29.602908
ISIC2019,2500,150000,0.9,0.508580292446651,0.006051150108239518,2026-01-12T08:24:28.681208
